origin|split_on_leg|drive_leg|avoid|destination|mode|units|timezone|departure_time|split_point|end_y|end_x|duration_in_traffic-sec|distance_m|duration-sec|start_x|start_y|end_y|end_x|duration_in_traffic-sec|distance_m|duration-sec|start_x|start_y
Washington Park Chicago IL|begin|start||Ohare Airport|transit|imperial|central|2017-04-24 05:15:00-05:00|Indiana|41.8217417|-87.62154029999999|402|3473|430|-87.61759029999999|41.7929603|41.97766499999999|-87.90422099999999|n/a|35619|4004|-87.621368|41.821732
Washington Park Chicago IL|begin|start||Ohare Airport|transit|imperial|central|2017-04-24 05:15:00-05:00|Cermak-McCormick Place|41.85277929999999|-87.62640499999999|647|8184|624|-87.61759029999999|41.7929603|41.97766499999999|-87.90422099999999|n/a|32056|3817|-87.62640499999999|41.85277929999999
Washington Park Chicago IL|begin|start||Ohare Airport|transit|imperial|central|2017-04-24 05:15:00-05:00|43rd|41.816588|-87.6190088|360|3095|395|-87.61759029999999|41.7929603|41.97766499999999|-87.90422099999999|n/a|36371|4135|-87.619019|41.816463
Washington Park Chicago IL|end|finish||Ohare Airport|transit|imperial|central|2017-04-24 05:15:00-05:00|Clark/Lake|41.8857522|-87.6315547|n/a|11394|1605|-87.61759029999999|41.7929603|41.9797233|-87.88225249999999|1594|26064|1311|-87.6315556|41.8857335
Washington Park Chicago IL|end|finish||Ohare Airport|transit|imperial|central|2017-04-24 05:15:00-05:00|Rosemont|41.983505|-87.85939|n/a|34808|4245|-87.61759029999999|41.7929603|41.9797233|-87.88225249999999|198|2012|93|-87.85947929999999|41.9837411
Washington Park Chicago IL|end|finish||Ohare Airport|transit|imperial|central|2017-04-24 05:15:00-05:00|Addison|41.94738|-87.719063|n/a|21893|3255|-87.61759029999999|41.7929603|41.9797233|-87.88225249999999|1903|23030|1018|-87.7191813|41.9472665
Washington Park Chicago IL|end|finish||Ohare Airport|transit|imperial|central|2017-04-24 05:15:00-05:00|Jefferson Park Transit Center|41.970634|-87.76089499999999|n/a|26224|3645|-87.61759029999999|41.7929603|41.9797233|-87.88225249999999|1173|10610|447|-87.7611277|41.9708946
Washington Park Chicago IL|end|finish||Ohare Airport|transit|imperial|central|2017-04-24 05:15:00-05:00|O'Hare|41.97766499999999|-87.90422099999999|n/a|39116|4545|-87.61759029999999|41.7929603|41.9797233|-87.88225249999999|531|6127|578|-87.90409720000001|41.9777944
Washington Park Chicago IL|end|finish||Ohare Airport|transit|imperial|central|2017-04-24 05:15:00-05:00|Damen|41.9100489|-87.67796330000002|n/a|16245|2715|-87.61759029999999|41.7929603|41.9797233|-87.88225249999999|1814|21849|1156|-87.67796299999999|41.9100511
Washington Park Chicago IL|end|finish||Ohare Airport|transit|imperial|central|2017-04-24 05:15:00-05:00|Harlem|41.9823319|-87.8075119|n/a|30489|3915|-87.61759029999999|41.7929603|41.9797233|-87.88225249999999|664|6370|272|-87.8075138|41.9824533
Washington Park Chicago IL|||tolls|Ohare Airport|driving|imperial|central|2017-04-24 05:30:00-05:00||41.9797233|-87.88225249999999|2047|36662|1842|-87.61759029999999|41.7929603|||||||
Washington Park Chicago IL|begin|start||Ohare Airport|transit|imperial|central|2017-04-24 05:30:00-05:00||41.97766499999999|-87.90422099999999|n/a|39116|4245|-87.61759029999999|41.7929603|||||||
Washington Park Chicago IL|end|finish||Ohare Airport|transit|imperial|central|2017-04-24 05:30:00-05:00||41.97766499999999|-87.90422099999999|n/a|39116|4245|-87.61759029999999|41.7929603|||||||
Washington Park Chicago IL|begin|start||Ohare Airport|transit|imperial|central|2017-04-24 05:30:00-05:00|Clark/Lake|41.8857335|-87.6315556|1174|13304|1159|-87.61759029999999|41.7929603|41.97766499999999|-87.90422099999999|n/a|27722|2482|-87.6315547|41.8857522
Washington Park Chicago IL|begin|start||Ohare Airport|transit|imperial|central|2017-04-24 05:30:00-05:00|Jackson|41.8774533|-87.6277288|1068|11033|1111|-87.61759029999999|41.7929603|41.97766499999999|-87.90422099999999|n/a|28926|2806|-87.6277288|41.8774533
Washington Park Chicago IL|begin|start||Ohare Airport|transit|imperial|central|2017-04-24 05:30:00-05:00|State/Lake|41.8857694|-87.6279402|1173|13595|1219|-87.61759029999999|41.7929603|41.97766499999999|-87.90422099999999|n/a|28000|2680|-87.62802219999999|41.885817
Washington Park Chicago IL|begin|start||Ohare Airport|transit|imperial|central|2017-04-24 05:30:00-05:00|Garfield|41.79473910000001|-87.618398|104|536|107|-87.61755509999999|41.7929609|41.97766499999999|-87.90422099999999|n/a|38739|3929|-87.61832400000002|41.795174
Washington Park Chicago IL|begin|start||Ohare Airport|transit|imperial|central|2017-04-24 05:30:00-05:00|Indiana|41.8217417|-87.62154029999999|394|3473|430|-87.61759029999999|41.7929603|41.97766499999999|-87.90422099999999|n/a|35619|3570|-87.621368|41.821732
Washington Park Chicago IL|begin|start||Ohare Airport|transit|imperial|central|2017-04-24 05:30:00-05:00|Cermak-McCormick Place|41.85277929999999|-87.62640499999999|675|8184|624|-87.61759029999999|41.7929603|41.97766499999999|-87.90422099999999|n/a|31852|3313|-87.6264174|41.8526371
Washington Park Chicago IL|begin|start||Ohare Airport|transit|imperial|central|2017-04-24 05:30:00-05:00|43rd|41.816588|-87.6190088|358|3095|395|-87.61759029999999|41.7929603|41.97766499999999|-87.90422099999999|n/a|36371|3690|-87.619019|41.816463
Washington Park Chicago IL|end|finish||Ohare Airport|transit|imperial|central|2017-04-24 05:30:00-05:00|Clark/Lake|41.8857522|-87.6315547|n/a|11394|1603|-87.61759029999999|41.7929603|41.9797233|-87.88225249999999|1971|26064|1311|-87.6315556|41.8857335
Washington Park Chicago IL|end|finish||Ohare Airport|transit|imperial|central|2017-04-24 05:30:00-05:00|Rosemont|41.983505|-87.85939|n/a|34808|3944|-87.61759029999999|41.7929603|41.9797233|-87.88225249999999|137|2012|93|-87.85947929999999|41.9837411
Washington Park Chicago IL|end|finish||Ohare Airport|transit|imperial|central|2017-04-24 05:30:00-05:00|Addison|41.94738|-87.719063|n/a|21893|2954|-87.61759029999999|41.7929603|41.9797233|-87.88225249999999|2095|23030|1018|-87.7191813|41.9472665
