origin|split_on_leg|avoid|destination|mode|units|timezone|departure_time|split_point|distance|end_y|end_x|duration_in_traffic-sec|duration-sec|start_x|start_y|distance|end_y|end_x|duration_in_traffic-sec|duration-sec|start_x|start_y
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-12 04:24:00-05:00|5 Av/53 St|3.2 mi|40.7602762|-73.9754916|847|1388|-73.99977539999999|40.7271183|10.8 mi|40.774038|-73.872079|n/a|2553|-73.9754916|40.7602762
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-12 04:24:00-05:00|46 St|8.4 mi|40.7565965|-73.9143236|1329|1704|-73.99977539999999|40.7271183|4.6 mi|40.774059|-73.87185699999999|n/a|1380|-73.9143964|40.7566297
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-12 04:24:00-05:00|36 St|5.3 mi|40.7520038|-73.9287806|1218|1738|-73.9932975|40.7295629|5.6 mi|40.774059|-73.87185699999999|n/a|1560|-73.928781|40.752039
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-12 04:24:00-05:00|50th Street|3.6 mi|40.7623826|-73.9863368|993|1259|-73.99977539999999|40.7271183|9.1 mi|40.774059|-73.87185699999999|n/a|2280|-73.9862468|40.76250479999999
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-12 04:24:00-05:00|Roosevelt Av - Jackson Heights Subway Station|7.5 mi|40.7465008|-73.8910021|1122|1453|-73.99977539999999|40.7271183|3.3 mi|40.774059|-73.87185699999999|n/a|543|-73.8907842|40.7466375
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-12 04:24:00-05:00|Court Square-23 Street Station|4.0 mi|40.7480716|-73.9471688|1002|1204|-73.9932975|40.7295629|6.7 mi|40.774059|-73.87185699999999|n/a|1800|-73.9472068|40.74795599999999
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-12 04:24:00-05:00|74 St/Roosevelt Av Station|8.2 mi|40.746543|-73.890732|n/a|1703|-73.99433259999999|40.7285304|2.9 mi|40.7714389|-73.8718939|376|414|-73.890765|40.7464059
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-12 04:24:00-05:00|LaGuardia Airport|12.0 mi|40.774038|-73.872079|n/a|2764|-73.99437209999999|40.7284833|0.2 mi|40.7734911|-73.8758586|92|96|-73.8720814|40.7740263
New York University||tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-12 04:36:00-05:00||9.9 mi|40.7714389|-73.8718939|1148|1475|-73.99977539999999|40.7271183
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-12 04:36:00-05:00||12.0 mi|40.774038|-73.872079|n/a|2764|-73.99437209999999|40.7284833
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-12 04:36:00-05:00||12.0 mi|40.774038|-73.872079|n/a|2764|-73.99437209999999|40.7284833
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-12 04:36:00-05:00|Grand Central - 42 St Station|2.3 mi|40.7522756|-73.9774709|691|931|-73.9932975|40.7295629|10.2 mi|40.774038|-73.872079|n/a|1848|-73.97761360000001|40.7523191
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-12 04:36:00-05:00|23 St|1.1 mi|40.74003099999999|-73.98640879999999|407|529|-73.9932975|40.7295629|11.0 mi|40.774038|-73.872079|n/a|2220|-73.9863381|40.7400007
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-12 04:36:00-05:00|Astor Place Station|0.4 mi|40.7301688|-73.99099249999999|134|169|-73.9932975|40.7295629|11.7 mi|40.774038|-73.872079|n/a|2460|-73.99107|40.730054
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-12 04:36:00-05:00|28 St|1.4 mi|40.7432513|-73.98390549999999|532|675|-73.9932975|40.7295629|10.7 mi|40.774038|-73.872079|n/a|2220|-73.98386289999999|40.7433087
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-12 04:36:00-05:00|33 St|2.1 mi|40.7466223|-73.9818023|669|899|-73.9932975|40.7295629|9.1 mi|40.774059|-73.87185699999999|n/a|2520|-73.9818873|40.7466576
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-12 04:36:00-05:00|Grand Central Terminal|2.1 mi|40.7505727|-73.97600709999999|n/a|935|-73.99437209999999|40.7284833|8.3 mi|40.7714389|-73.8718939|869|896|-73.9760036|40.7505712
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-12 04:36:00-05:00|LaGuardia Airport|12.0 mi|40.774038|-73.872079|n/a|2764|-73.99437209999999|40.7284833|0.2 mi|40.7734911|-73.8758586|90|96|-73.8720814|40.7740263
New York University||tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-12 04:48:00-05:00||9.9 mi|40.7714389|-73.8718939|1164|1475|-73.99977539999999|40.7271183
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-12 04:48:00-05:00||10.2 mi|40.774059|-73.87185699999999|n/a|3037|-73.99437209999999|40.7284833
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-12 04:48:00-05:00||10.2 mi|40.774059|-73.87185699999999|n/a|3037|-73.99437209999999|40.7284833
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-12 04:48:00-05:00|59 St-Lexington Av Station|3.1 mi|40.7629334|-73.96790659999999|912|1371|-73.9932975|40.7295629|7.7 mi|40.774059|-73.87185699999999|n/a|1878|-73.96790659999999|40.7629334
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-12 04:48:00-05:00|39 Avenue Station|5.1 mi|40.7526945|-73.932906|1214|1705|-73.9932975|40.7295629|4.5 mi|40.774059|-73.87185699999999|n/a|1800|-73.932755|40.752882
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-12 04:48:00-05:00|Astoria Blvd Station|9.5 mi|40.770268|-73.9178577|1263|1535|-73.99977539999999|40.7271183|3.1 mi|40.774059|-73.87185699999999|n/a|875|-73.917858|40.7702677
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-12 04:48:00-05:00|8 St - NYU|0.3 mi|40.7306657|-73.9926419|157|191|-73.9932975|40.7295629|11.0 mi|40.774059|-73.87185699999999|n/a|3060|-73.9926698|40.7306255
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-12 04:48:00-05:00|23 Av/85 St|10.7 mi|40.7670803|-73.884843|n/a|3283|-73.99433259999999|40.7285304|1.4 mi|40.7692473|-73.8686737|445|421|-73.8848229|40.7669891
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-12 04:48:00-05:00|Astoria Bl/49 St|8.0 mi|40.7674423|-73.9022109|n/a|2912|-73.99433259999999|40.7285304|1.7 mi|40.7714389|-73.8718939|189|200|-73.9022097|40.7674422
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-12 04:48:00-05:00|94 St/23 Av|10.9 mi|40.7684722|-73.87629830000002|n/a|3225|-73.99433259999999|40.7285304|0.4 mi|40.7692473|-73.8686737|109|109|-73.87629849999999|40.7684733
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-12 04:48:00-05:00|Astoria Bl/42 St|7.4 mi|40.7685845|-73.9092265|n/a|2783|-73.99437209999999|40.7284833|2.1 mi|40.7714389|-73.8718939|248|273|-73.9092265|40.7685845
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-12 04:48:00-05:00|LaGuardia Airport|11.3 mi|40.774059|-73.87185699999999|n/a|2679|-73.99433259999999|40.7285304|0.2 mi|40.7734911|-73.8758586|86|96|-73.8720814|40.7740263
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-12 04:48:00-05:00|Astoria Bl N/77 St|10.5 mi|40.7667591|-73.8925333|n/a|3477|-73.99433259999999|40.7285304|2.2 mi|40.7714389|-73.8718939|302|325|-73.8925333|40.7667591
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-12 04:48:00-05:00|Hoyt Av/31 St|6.9 mi|40.77022729999999|-73.9174209|n/a|2203|-73.99437209999999|40.7284833|2.5 mi|40.7714389|-73.8718939|208|223|-73.9174206|40.7702271
New York University||tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-12 05:00:00-05:00||9.9 mi|40.7714389|-73.8718939|1193|1475|-73.99977539999999|40.7271183
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-12 05:00:00-05:00||11.6 mi|40.774059|-73.87185699999999|n/a|2559|-73.99433259999999|40.7285304
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-12 05:00:00-05:00||11.6 mi|40.774059|-73.87185699999999|n/a|2559|-73.99433259999999|40.7285304
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-12 05:00:00-05:00|West 4 Street - Washington Square Station|0.2 mi|40.73101|-74.0013002|110|130|-74.0001873|40.7313277|10.9 mi|40.774059|-73.87185699999999|n/a|2400|-74.0012201|40.7311041
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-12 05:00:00-05:00|5 Av/53 St|3.0 mi|40.7602762|-73.9754916|924|1311|-73.9932975|40.7295629|8.1 mi|40.774059|-73.87185699999999|n/a|1620|-73.97553979999999|40.76020949999999
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-12 05:00:00-05:00|36 St|4.9 mi|40.7520038|-73.9287806|1289|1572|-73.9932975|40.7295629|5.6 mi|40.774059|-73.87185699999999|n/a|1860|-73.928781|40.752039
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-12 05:00:00-05:00|50th Street|3.4 mi|40.7623826|-73.9863368|1050|1543|-73.99977539999999|40.7271183|8.8 mi|40.774059|-73.87185699999999|n/a|1740|-73.9862468|40.76250479999999
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-12 05:00:00-05:00|Roosevelt Av - Jackson Heights Subway Station|7.5 mi|40.7465008|-73.8910021|1149|1453|-73.99977539999999|40.7271183|3.3 mi|40.774059|-73.87185699999999|n/a|543|-73.8907842|40.7466375
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-12 05:00:00-05:00|Court Square-23 Street Station|4.0 mi|40.7480716|-73.9471688|969|1204|-73.9932975|40.7295629|6.4 mi|40.774059|-73.87185699999999|n/a|1320|-73.9472068|40.74795599999999
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-12 05:00:00-05:00|Northern Blvd|8.0 mi|40.7530768|-73.9069949|1272|1566|-73.99977539999999|40.7271183|4.2 mi|40.774059|-73.87185699999999|n/a|1560|-73.9071013|40.7531039
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-12 05:00:00-05:00|74 St/Roosevelt Av Station|8.5 mi|40.746543|-73.890732|n/a|1763|-73.99433259999999|40.7285304|2.9 mi|40.7714389|-73.8718939|375|414|-73.890765|40.7464059
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-12 05:00:00-05:00|LaGuardia Airport|11.6 mi|40.774059|-73.87185699999999|n/a|2559|-73.99433259999999|40.7285304|0.2 mi|40.7734911|-73.8758586|84|96|-73.8720814|40.7740263
New York University||tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-12 05:12:00-05:00||9.9 mi|40.7714389|-73.8718939|1249|1475|-73.99977539999999|40.7271183
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-12 05:12:00-05:00||11.6 mi|40.774059|-73.87185699999999|n/a|2559|-73.99433259999999|40.7285304
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-12 05:12:00-05:00||11.6 mi|40.774059|-73.87185699999999|n/a|2559|-73.99433259999999|40.7285304
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-12 05:12:00-05:00|West 4 Street - Washington Square Station|0.2 mi|40.73101|-74.0013002|104|130|-74.0001873|40.7313277|11.2 mi|40.774059|-73.87185699999999|n/a|2280|-74.0012201|40.7311041
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-12 05:12:00-05:00|5 Av/53 St|3.2 mi|40.7602762|-73.9754916|938|1397|-73.99977539999999|40.7271183|8.1 mi|40.774059|-73.87185699999999|n/a|1620|-73.97553979999999|40.76020949999999
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-12 05:12:00-05:00|36 St|4.9 mi|40.7520038|-73.9287806|1377|1572|-73.9932975|40.7295629|5.6 mi|40.774059|-73.87185699999999|n/a|1920|-73.928781|40.752039
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-12 05:12:00-05:00|50th Street|3.6 mi|40.7623826|-73.9863368|1061|1259|-73.99977539999999|40.7271183|8.8 mi|40.774059|-73.87185699999999|n/a|1920|-73.9862468|40.76250479999999
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-12 05:12:00-05:00|Roosevelt Av - Jackson Heights Subway Station|7.5 mi|40.7465008|-73.8910021|1208|1453|-73.99977539999999|40.7271183|3.3 mi|40.774059|-73.87185699999999|n/a|543|-73.8907842|40.7466375
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-12 05:12:00-05:00|Court Square-23 Street Station|4.0 mi|40.7480716|-73.9471688|1066|1204|-73.9932975|40.7295629|6.4 mi|40.774059|-73.87185699999999|n/a|1320|-73.9472068|40.74795599999999
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-12 05:12:00-05:00|Northern Blvd|8.0 mi|40.7530768|-73.9069949|1311|1566|-73.99977539999999|40.7271183|4.2 mi|40.774059|-73.87185699999999|n/a|1620|-73.9071013|40.7531039
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-12 05:12:00-05:00|74 St/Roosevelt Av Station|8.5 mi|40.746543|-73.890732|n/a|1763|-73.99433259999999|40.7285304|2.9 mi|40.7714389|-73.8718939|404|414|-73.890765|40.7464059
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-12 05:12:00-05:00|LaGuardia Airport|11.6 mi|40.774059|-73.87185699999999|n/a|2559|-73.99433259999999|40.7285304|0.2 mi|40.7734911|-73.8758586|95|96|-73.8720814|40.7740263
New York University||tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-12 05:24:00-05:00||9.9 mi|40.7714389|-73.8718939|1287|1475|-73.99977539999999|40.7271183
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-12 05:24:00-05:00||11.6 mi|40.774059|-73.87185699999999|n/a|2739|-73.99433259999999|40.7285304
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-12 05:24:00-05:00||11.6 mi|40.774059|-73.87185699999999|n/a|2739|-73.99433259999999|40.7285304
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-12 05:24:00-05:00|West 4 Street - Washington Square Station|0.2 mi|40.73101|-74.0013002|105|130|-74.0001873|40.7313277|11.2 mi|40.774059|-73.87185699999999|n/a|2460|-74.0012201|40.7311041
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-12 05:24:00-05:00|5 Av/53 St|3.2 mi|40.7602762|-73.9754916|987|1397|-73.99977539999999|40.7271183|8.1 mi|40.774059|-73.87185699999999|n/a|1800|-73.97553979999999|40.76020949999999
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-12 05:24:00-05:00|36 St|5.3 mi|40.7520038|-73.9287806|1381|1738|-73.9932975|40.7295629|5.6 mi|40.774059|-73.87185699999999|n/a|1800|-73.928781|40.752039
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-12 05:24:00-05:00|50th Street|3.6 mi|40.7623826|-73.9863368|1022|1259|-73.99977539999999|40.7271183|8.8 mi|40.774059|-73.87185699999999|n/a|1920|-73.9862468|40.76250479999999
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-12 05:24:00-05:00|Roosevelt Av - Jackson Heights Subway Station|7.7 mi|40.7465008|-73.8910021|1219|1453|-73.9932975|40.7295629|3.3 mi|40.774059|-73.87185699999999|n/a|531|-73.8907842|40.7466375
