origin|split_on_leg|avoid|destination|mode|units|timezone|departure_time|split_point|distance|end_y|end_x|duration_in_traffic-sec|duration-sec|start_x|start_y|distance|end_y|end_x|duration_in_traffic-sec|duration-sec|start_x|start_y
Harvard transit station Boston MA||tolls|Airport station Boston MA|driving|imperial|eastern|2017-04-07 04:00:00-05:00||9.8 mi|42.3747715|-71.0290294|1267|1388|-71.1196369|42.36504739999999
Harvard transit station Boston MA|begin||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:00:00-05:00||6.7 mi|42.37426199999999|-71.03039500000001|n/a|2876|-71.1196369|42.36504739999999
Harvard transit station Boston MA|end||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:00:00-05:00||6.7 mi|42.37426199999999|-71.03039500000001|n/a|2876|-71.1196369|42.36504739999999
Harvard transit station Boston MA|begin||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:00:00-05:00|Magazine St @ Green St|1.1 mi|42.36526689999999|-71.1044416|405|439|-71.1196369|42.36504739999999|5.4 mi|42.37426199999999|-71.03039500000001|n/a|1952|-71.1044261|42.36517389999999
Harvard transit station Boston MA|begin||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:00:00-05:00|Massachusetts Ave @ Beacon St|2.5 mi|42.3507459|-71.08942979999999|485|576|-71.1196369|42.36504739999999|4.1 mi|42.37426199999999|-71.03039500000001|n/a|1855|-71.08942979999999|42.3507459
Harvard transit station Boston MA|begin||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:00:00-05:00|Massachusetts Ave @ Albany St|2.1 mi|42.3606856|-71.0958002|511|584|-71.1196369|42.36504739999999|4.9 mi|42.37426199999999|-71.03039500000001|n/a|1630|-71.096014|42.360708
Harvard transit station Boston MA|begin||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:00:00-05:00|Green St @ Pearl St|1.4 mi|42.3640924|-71.10307259999999|506|547|-71.1196369|42.36504739999999|5.4 mi|42.37426199999999|-71.03039500000001|n/a|1941|-71.10307259999999|42.3640924
Harvard transit station Boston MA|begin||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:00:00-05:00|Mt Auburn St @ DeWolfe St|1.3 mi|42.3710009|-71.11592089999999|381|469|-71.1196369|42.36504739999999|6.1 mi|42.37426199999999|-71.03039500000001|n/a|2176|-71.11596999999999|42.370925
Harvard transit station Boston MA|begin||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:00:00-05:00|Massachusetts Ave @ Bigelow St|1.3 mi|42.3668059|-71.10605319999999|521|562|-71.1196369|42.36504739999999|5.5 mi|42.37426199999999|-71.03039500000001|n/a|1960|-71.10610199999999|42.366717
Harvard transit station Boston MA|begin||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:00:00-05:00|Massachusetts Ave @ Bay St|1.4 mi|42.3690283|-71.110376|427|502|-71.1196369|42.36504739999999|5.8 mi|42.37426199999999|-71.03039500000001|n/a|2056|-71.110427|42.368951
Harvard transit station Boston MA|begin||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:00:00-05:00|Hynes Convention Center|2.6 mi|42.3478457|-71.0880068|556|598|-71.1196369|42.36504739999999|3.9 mi|42.37426199999999|-71.03039500000001|n/a|1500|-71.087903|42.347888
Harvard transit station Boston MA|begin||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:00:00-05:00|Massachusetts Ave @ Trowbridge St|1.3 mi|42.370208|-71.1130831|415|488|-71.1196369|42.36504739999999|6.0 mi|42.37426199999999|-71.03039500000001|n/a|2134|-71.113514|42.370044
Harvard transit station Boston MA|begin||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:00:00-05:00|Massachusetts Avenue/Landsdowne St.|2.1 mi|42.3614162|-71.0982636|515|588|-71.1196369|42.36504739999999|5.0 mi|42.37426199999999|-71.03039500000001|n/a|1820|-71.0982636|42.3614162
Harvard transit station Boston MA|begin||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:00:00-05:00|Massachusetts Ave @ Memorial Dr|2.7 mi|42.357596|-71.09279699999999|490|564|-71.1196369|42.36504739999999|4.8 mi|42.37426199999999|-71.03039500000001|n/a|1650|-71.09279699999999|42.357596
Harvard transit station Boston MA|end||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:00:00-05:00|State|4.5 mi|42.3586466|-71.057326|n/a|2093|-71.1196369|42.36504739999999|3.1 mi|42.3747715|-71.0290294|552|641|-71.0571914|42.35866960000001
Harvard transit station Boston MA|end||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:00:00-05:00|Maverick|5.8 mi|42.3691186|-71.0395296|n/a|2976|-71.1196369|42.36504739999999|1.4 mi|42.3747715|-71.0290294|276|318|-71.0396719|42.3691933
Harvard transit station Boston MA|end||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:00:00-05:00|Government Center|4.4 mi|42.3597135|-71.05917990000002|n/a|1989|-71.1196369|42.36504739999999|2.9 mi|42.3747715|-71.0290294|454|531|-71.0597895|42.3596291
Harvard transit station Boston MA|end||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:00:00-05:00|Airport Station|6.4 mi|42.37426199999999|-71.03039500000001|n/a|3096|-71.1196369|42.36504739999999|0.6 mi|42.3747715|-71.0290294|107|108|-71.0305389|42.3745164
Harvard transit station Boston MA|end||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:00:00-05:00|Aquarium|4.8 mi|42.3597918|-71.0515702|n/a|2474|-71.1196369|42.36504739999999|3.1 mi|42.3747715|-71.0290294|572|669|-71.05154639999999|42.3596586
Harvard transit station Boston MA||tolls|Airport station Boston MA|driving|imperial|eastern|2017-04-07 04:10:00-05:00||9.8 mi|42.3747715|-71.0290294|1267|1388|-71.1196369|42.36504739999999
Harvard transit station Boston MA|begin||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:10:00-05:00||6.4 mi|42.37426199999999|-71.03039500000001|n/a|2976|-71.1196369|42.36504739999999
Harvard transit station Boston MA|end||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:10:00-05:00||6.4 mi|42.37426199999999|-71.03039500000001|n/a|2976|-71.1196369|42.36504739999999
Harvard transit station Boston MA|begin||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:10:00-05:00|Kendall|3.1 mi|42.3623895|-71.08620309999999|604|700|-71.1196369|42.36504739999999|3.7 mi|42.37426199999999|-71.03039500000001|n/a|1668|-71.0862248|42.3622401
Harvard transit station Boston MA|begin||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:10:00-05:00|Downtown Crossing|5.1 mi|42.3549395|-71.05975|793|899|-71.1196369|42.36504739999999|2.2 mi|42.37426199999999|-71.03039500000001|n/a|743|-71.0599775|42.3550909
Harvard transit station Boston MA|begin||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:10:00-05:00|Charles/MGH|3.4 mi|42.3611521|-71.070619|694|766|-71.1196369|42.36504739999999|2.7 mi|42.37426199999999|-71.03039500000001|n/a|1050|-71.0705298|42.3611271
Harvard transit station Boston MA|begin||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:10:00-05:00|Harvard|1.4 mi|42.3732593|-71.11873480000001|459|568|-71.1196369|42.36504739999999|5.6 mi|42.37426199999999|-71.03039500000001|n/a|2030|-71.118956|42.373362
Harvard transit station Boston MA|begin||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:10:00-05:00|Central|1.2 mi|42.3653463|-71.103606|414|481|-71.1196369|42.36504739999999|4.7 mi|42.37426199999999|-71.03039500000001|n/a|1810|-71.103802|42.365486
Harvard transit station Boston MA|end||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:10:00-05:00|State|4.5 mi|42.3586466|-71.057326|n/a|2093|-71.1196369|42.36504739999999|3.1 mi|42.3747715|-71.0290294|556|641|-71.0571914|42.35866960000001
Harvard transit station Boston MA|end||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:10:00-05:00|Maverick|5.8 mi|42.3691186|-71.0395296|n/a|2856|-71.1196369|42.36504739999999|1.4 mi|42.3747715|-71.0290294|292|318|-71.0396719|42.3691933
Harvard transit station Boston MA|end||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:10:00-05:00|Aquarium|4.8 mi|42.3597918|-71.0515702|n/a|2474|-71.1196369|42.36504739999999|3.1 mi|42.3747715|-71.0290294|587|669|-71.05154639999999|42.3596586
Harvard transit station Boston MA|end||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:10:00-05:00|Airport Station|6.4 mi|42.37426199999999|-71.03039500000001|n/a|2976|-71.1196369|42.36504739999999|0.6 mi|42.3747715|-71.0290294|111|108|-71.0305389|42.3745164
Harvard transit station Boston MA||tolls|Airport station Boston MA|driving|imperial|eastern|2017-04-07 04:20:00-05:00||9.8 mi|42.3747715|-71.0290294|1272|1388|-71.1196369|42.36504739999999
