origin|avoid|destination|mode|units|timezone|departure_time|end_y|end_x|duration_in_traffic-sec|distance_m|duration-sec|start_x|start_y
(42.01914566666667, -87.753384)|tolls|Willis Tower Chicago IL|driving|imperial|central|2017-04-17 05:24:00-05:00|41.8787965|-87.63525010000001|1023|22745|1219|-87.7533849|42.0190628
(42.01914566666667, -87.71498)|tolls|Willis Tower Chicago IL|driving|imperial|central|2017-04-17 05:24:00-05:00|41.8787965|-87.63525010000001|1186|24997|1429|-87.7149792|42.0190832
(42.01914566666667, -87.676576)|tolls|Willis Tower Chicago IL|driving|imperial|central|2017-04-17 05:24:00-05:00|41.8780985|-87.6358815|1589|19865|1818|-87.6765717|42.0194053
(41.993628, -87.753384)|tolls|Willis Tower Chicago IL|driving|imperial|central|2017-04-17 05:24:00-05:00|41.8787965|-87.63525010000001|842|18920|1014|-87.753677|41.993763
(41.993628, -87.71498)|tolls|Willis Tower Chicago IL|driving|imperial|central|2017-04-17 05:24:00-05:00|41.8787965|-87.63525010000001|1093|22190|1319|-87.7149847|41.9937851
(41.993628, -87.676576)|tolls|Willis Tower Chicago IL|driving|imperial|central|2017-04-17 05:24:00-05:00|41.8780985|-87.6358815|1306|16976|1472|-87.6764425|41.9935118
(42.070181, -87.753384)||Willis Tower Chicago IL|transit|imperial|central|2017-04-17 05:24:00-05:00|41.8780985|-87.6358815|n/a|28575|5053|-87.75338719999999|42.0701892
(42.070181, -87.71498)||Willis Tower Chicago IL|transit|imperial|central|2017-04-17 05:24:00-05:00|41.8780985|-87.6358815|n/a|25247|3401|-87.7149774|42.0703025
(42.070181, -87.676576)||Willis Tower Chicago IL|transit|imperial|central|2017-04-17 05:24:00-05:00|41.8780985|-87.6358815|n/a|25537|3936|-87.67873929999999|42.0691143
(42.04466333333333, -87.753384)||Willis Tower Chicago IL|transit|imperial|central|2017-04-17 05:24:00-05:00|41.8780985|-87.6358815|n/a|27991|3900|-87.7532507|42.0445735
(42.04466333333333, -87.71498)||Willis Tower Chicago IL|transit|imperial|central|2017-04-17 05:24:00-05:00|41.8780985|-87.6358815|n/a|30950|4584|-87.71497749999999|42.0445054
(42.04466333333333, -87.676576)||Willis Tower Chicago IL|transit|imperial|central|2017-04-17 05:24:00-05:00|41.8780985|-87.6358815|n/a|22648|3371|-87.6765911|42.0446669
(42.01914566666667, -87.753384)||Willis Tower Chicago IL|transit|imperial|central|2017-04-17 05:24:00-05:00|41.8780985|-87.6358815|n/a|27174|4261|-87.7533849|42.0190628
(42.01914566666667, -87.71498)||Willis Tower Chicago IL|transit|imperial|central|2017-04-17 05:24:00-05:00|41.8780985|-87.6358815|n/a|23175|3450|-87.7149792|42.0190832
(42.01914566666667, -87.676576)||Willis Tower Chicago IL|transit|imperial|central|2017-04-17 05:24:00-05:00|41.8780985|-87.6358815|n/a|19546|2722|-87.6765717|42.0194053
(41.993628, -87.753384)||Willis Tower Chicago IL|transit|imperial|central|2017-04-17 05:24:00-05:00|41.8780985|-87.6358815|n/a|20596|2828|-87.753677|41.993763
(41.993628, -87.71498)||Willis Tower Chicago IL|transit|imperial|central|2017-04-17 05:24:00-05:00|41.8780985|-87.6358815|n/a|19025|3278|-87.7149847|41.9937851
(41.993628, -87.676576)||Willis Tower Chicago IL|transit|imperial|central|2017-04-17 05:24:00-05:00|41.8780985|-87.6358815|n/a|17249|3298|-87.6764425|41.9935118
(42.070181, -87.753384)|tolls|Willis Tower Chicago IL|driving|imperial|central|2017-04-17 05:36:00-05:00|41.8787965|-87.63525010000001|1392|29885|1554|-87.75338719999999|42.0701892
(42.070181, -87.71498)|tolls|Willis Tower Chicago IL|driving|imperial|central|2017-04-17 05:36:00-05:00|41.8787965|-87.63525010000001|1558|32320|1765|-87.7149774|42.0703025
(42.070181, -87.676576)|tolls|Willis Tower Chicago IL|driving|imperial|central|2017-04-17 05:36:00-05:00|41.8787965|-87.63525010000001|1900|37077|2103|-87.679046|42.0695795
(42.04466333333333, -87.753384)|tolls|Willis Tower Chicago IL|driving|imperial|central|2017-04-17 05:36:00-05:00|41.8787965|-87.63525010000001|1133|26315|1293|-87.7532507|42.0445735
(42.04466333333333, -87.71498)|tolls|Willis Tower Chicago IL|driving|imperial|central|2017-04-17 05:36:00-05:00|41.8787965|-87.63525010000001|1421|29497|1628|-87.71497749999999|42.0445054
(42.04466333333333, -87.676576)|tolls|Willis Tower Chicago IL|driving|imperial|central|2017-04-17 05:36:00-05:00|41.8780985|-87.6358815|1796|22648|2029|-87.6765911|42.0446669
(42.01914566666667, -87.753384)|tolls|Willis Tower Chicago IL|driving|imperial|central|2017-04-17 05:36:00-05:00|41.8787965|-87.63525010000001|1068|22745|1219|-87.7533849|42.0190628
